country;country_long;name;gppd_idnr;capacity_mw;latitude;longitude;primary_fuel;other_fuel1;other_fuel2;other_fuel3;commissioning_year;owner;source;url;geolocation_source;wepp_id;year_of_capacity_data;generation_gwh_2013;generation_gwh_2014;generation_gwh_2015;generation_gwh_2016;generation_gwh_2017;generation_gwh_2018;generation_gwh_2019;generation_data_source;estimated_generation_gwh_2013;estimated_generation_gwh_2014;estimated_generation_gwh_2015;estimated_generation_gwh_2016;estimated_generation_gwh_2017;estimated_generation_note_2013;estimated_generation_note_2014;estimated_generation_note_2015;estimated_generation_note_2016;estimated_generation_note_2017
UZB;Uzbekistan;Angren power station;WRI1000144;422;41.0047;70.1235;Coal;;;;1973;Uzbekenergo;GCPT;https://endcoal.org/global-coal-plant-tracker/;GEODB;1047035;;;;;;;;;;;;;;395.24;NO-ESTIMATION;NO-ESTIMATION;NO-ESTIMATION;NO-ESTIMATION;CAPACITY-FACTOR-V1
UZB;Uzbekistan;Novo-Angren power station;WRI1000139;2100;40.9233;69.8174;Coal;;;;1989;Uzbekenergo;GCPT;https://endcoal.org/global-coal-plant-tracker/;GEODB;1032634;;;;;;;;;;;;;;1966.86;NO-ESTIMATION;NO-ESTIMATION;NO-ESTIMATION;NO-ESTIMATION;CAPACITY-FACTOR-V1
UZB;Uzbekistan;Mubarek;WRI1000154;60;39.2553;65.1528;Gas;;;;1985;Uzbekenergo;Asian Development Bank;http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf;CARMA;1032627;;;;;;;;;;;;;;334.93;NO-ESTIMATION;NO-ESTIMATION;NO-ESTIMATION;NO-ESTIMATION;CAPACITY-FACTOR-V1
UZB;Uzbekistan;Navoi;WRI1000141;1758;40.1569;65.3104;Gas;;;;;Uzbekenergo;Asian Development Bank;http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf;GEODB;1032628;;;;;;;;;;;;;;9813.57;NO-ESTIMATION;NO-ESTIMATION;NO-ESTIMATION;NO-ESTIMATION;CAPACITY-FACTOR-V1
UZB;Uzbekistan;Syrdarya;WRI1000138;3000;40.2287;69.1005;Gas;;;;1972;Uzbekenergo;Asian Development Bank;http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf;GEODB;1032638;;;;;;;;;;;;;;16746.71;NO-ESTIMATION;NO-ESTIMATION;NO-ESTIMATION;NO-ESTIMATION;CAPACITY-FACTOR-V1
UZB;Uzbekistan;Takhiatash;WRI1000143;730;42.3175;59.5553;Gas;;;;1963;Uzbekenergo;Asian Development Bank;http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf;GEODB;1032639;;;;;;;;;;;;;;4075.03;NO-ESTIMATION;NO-ESTIMATION;NO-ESTIMATION;NO-ESTIMATION;CAPACITY-FACTOR-V1
UZB;Uzbekistan;Talimardjan;WRI1000142;800;38.4809;65.6315;Gas;;;;2014;Uzbekenergo;Asian Development Bank;http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf;GEODB;1032642;;;;;;;;;;;;;;4465.78;NO-ESTIMATION;NO-ESTIMATION;NO-ESTIMATION;NO-ESTIMATION;CAPACITY-FACTOR-V1
UZB;Uzbekistan;Tashkent;WRI1000140;2230;41.3822;69.3677;Gas;;;;2008;Uzbekenergo;Chibu Electric Provider;http://www.chuden.co.jp/english/corporate/press2004/0117_1.html;GEODB;1032643;;;;;;;;;;;;;;12448.38;NO-ESTIMATION;NO-ESTIMATION;NO-ESTIMATION;NO-ESTIMATION;CAPACITY-FACTOR-V1
UZB;Uzbekistan;Akkavak;WRI1000150;39;41.4471;69.5578;Hydro;;;;;Uzbekenergo;Asian Development Bank;http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf;GEODB;1032613;;;;;;;;;;135.94;135.55;185.88;170.36;187.91;HYDRO-V1;HYDRO-V1;HYDRO-V1;HYDRO-V1;HYDRO-V1
UZB;Uzbekistan;Charvak;WRI1000146;620;41.627;69.969;Hydro;;;;1972;Uzbekenergo;Asian Development Bank;http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf;GEODB;1032618;;;;;;;;;;1869.53;1931.44;1899.72;2489.92;2841.95;HYDRO-V1;HYDRO-V1;HYDRO-V1;HYDRO-V1;HYDRO-V1
UZB;Uzbekistan;Farkhad;WRI1000153;126;40.1924;69.3048;Hydro;;;;1949;Uzbekenergo;Asian Development Bank;http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf;GEODB;1032620;;;;;;;;;;512.45;512.45;512.45;475.94;474.5;HYDRO-V1;HYDRO-V1;HYDRO-V1;HYDRO-V1;HYDRO-V1
UZB;Uzbekistan;Gazalkent;WRI1000148;120;41.5581;69.7708;Hydro;;;;1980;Uzbekenergo;Asian Development Bank;http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf;CARMA;1032621;;;;;;;;;;393.31;412.83;397.14;511.12;568.79;HYDRO-V1;HYDRO-V1;HYDRO-V1;HYDRO-V1;HYDRO-V1
UZB;Uzbekistan;Khodjikent;WRI1000147;165;41.599;69.8644;Hydro;;;;1976;Uzbekenergo;Asian Development Bank;http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf;GEODB;1032625;;;;;;;;;;542.72;569.56;547.99;702.79;782.09;HYDRO-V1;HYDRO-V1;HYDRO-V1;HYDRO-V1;HYDRO-V1
UZB;Uzbekistan;Tavak;WRI1000149;70;41.5542;69.6811;Hydro;;;;;Uzbekenergo;Asian Development Bank;http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf;CARMA;1032645;;;;;;;;;;244.51;243.81;299.37;310.34;331.5;HYDRO-V1;HYDRO-V1;HYDRO-V1;HYDRO-V1;HYDRO-V1
UZB;Uzbekistan;Fergana;WRI1000145;300;40.449;71.782;Oil;;;;1956;Uzbekenergo;Asian Development Bank;http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf;GEODB;1056030;;;;;;;;;;;;;;121.55;NO-ESTIMATION;NO-ESTIMATION;NO-ESTIMATION;NO-ESTIMATION;CAPACITY-FACTOR-V1
UZB;Uzbekistan;Sazagan;WKS0062615;100;39.5834;66.7198;Solar;;;;;;Wiki-Solar;https://www.wiki-solar.org;Wiki-Solar;;;;;;;;;;;207.22;209.44;182.86;187.58;177.96;SOLAR-V1-NO-AGE;SOLAR-V1-NO-AGE;SOLAR-V1-NO-AGE;SOLAR-V1-NO-AGE;SOLAR-V1-NO-AGE
