Year,"Electricity consumption per capita, Uzbekistan",Units
2000,1.777,MWh / Capita
2001,1.646,MWh / Capita
2002,1.63,MWh / Capita
2003,1.57,MWh / Capita
2004,1.56,MWh / Capita
2005,1.503,MWh / Capita
2006,1.598,MWh / Capita
2007,1.617,MWh / Capita
2008,1.572,MWh / Capita
2009,1.527,MWh / Capita
2010,1.464,MWh / Capita
2011,1.474,MWh / Capita
2012,1.468,MWh / Capita
2013,1.476,MWh / Capita
2014,1.489,MWh / Capita
2015,1.505,MWh / Capita
2016,1.511,MWh / Capita
2017,1.555,MWh / Capita
2018,1.75,MWh / Capita
2019,1.791,MWh / Capita
2020,1.725,MWh / Capita
2021,2.078,MWh / Capita
2022,2.052,MWh / Capita
