"electricity, Uzbekistan",Value,Year,Units
"Imports",14026,2000,GWh
"Imports",13452,2001,GWh
"Imports",11444,2002,GWh
"Imports",12407,2003,GWh
"Imports",12493,2004,GWh
"Imports",11901,2005,GWh
"Imports",11842,2006,GWh
"Imports",12424,2007,GWh
"Imports",11868,2008,GWh
"Imports",10924,2009,GWh
"Imports",6524,2010,GWh
"Imports",8082,2011,GWh
"Imports",7930,2012,GWh
"Imports",7225,2013,GWh
"Imports",6436,2014,GWh
"Imports",5520,2015,GWh
"Imports",5278,2016,GWh
"Imports",6945,2017,GWh
"Imports",2233,2018,GWh
"Imports",3379,2019,GWh
"Imports",5207,2020,GWh
"Imports",6232,2021,GWh
"Imports",4976,2022,GWh
"Exports",-12745,2000,GWh
"Exports",-12959,2001,GWh
"Exports",-11527,2002,GWh
"Exports",-12413,2003,GWh
"Exports",-12742,2004,GWh
"Exports",-12181,2005,GWh
"Exports",-12264,2006,GWh
"Exports",-11435,2007,GWh
"Exports",-11768,2008,GWh
"Exports",-10970,2009,GWh
"Exports",-7693,2010,GWh
"Exports",-8816,2011,GWh
"Exports",-8600,2012,GWh
"Exports",-8107,2013,GWh
"Exports",-7215,2014,GWh
"Exports",-6810,2015,GWh
"Exports",-6774,2016,GWh
"Exports",-7584,2017,GWh
"Exports",-2626,2018,GWh
"Exports",-2066,2019,GWh
"Exports",-2686,2020,GWh
"Exports",-2644,2021,GWh
"Exports",-2702,2022,GWh
