"electricity final consumption by sector in Uzbekistan",Value,Year,Units
"Industry Sector",55864,2000, TJ
"Industry Sector",52912,2001, TJ
"Industry Sector",53661,2002, TJ
"Industry Sector",52387,2003, TJ
"Industry Sector",51105,2004, TJ
"Industry Sector",50155,2005, TJ
"Industry Sector",51663,2006, TJ
"Industry Sector",49827,2007, TJ
"Industry Sector",50050,2008, TJ
"Industry Sector",50202,2009, TJ
"Industry Sector",50000,2010, TJ
"Industry Sector",52808,2011, TJ
"Industry Sector",53002,2012, TJ
"Industry Sector",53935,2013, TJ
"Industry Sector",56926,2014, TJ
"Industry Sector",58539,2015, TJ
"Industry Sector",59075,2016, TJ
"Industry Sector",62562,2017, TJ
"Industry Sector",55518,2018, TJ
"Industry Sector",62575,2019, TJ
"Industry Sector",71036,2020, TJ
"Industry Sector",72897,2021, TJ
"Industry Sector",80627,2022, TJ
"Transport Sector",4798,2000, TJ
"Transport Sector",4413,2001, TJ
"Transport Sector",4359,2002, TJ
"Transport Sector",4251,2003, TJ
"Transport Sector",4690,2004, TJ
"Transport Sector",4942,2005, TJ
"Transport Sector",4654,2006, TJ
"Transport Sector",4579,2007, TJ
"Transport Sector",4449,2008, TJ
"Transport Sector",4287,2009, TJ
"Transport Sector",4348,2010, TJ
"Transport Sector",4287,2011, TJ
"Transport Sector",4370,2012, TJ
"Transport Sector",4409,2013, TJ
"Transport Sector",4298,2014, TJ
"Transport Sector",4197,2015, TJ
"Transport Sector",4197,2016, TJ
"Transport Sector",4399,2017, TJ
"Transport Sector",5308,2018, TJ
"Transport Sector",7614,2019, TJ
"Transport Sector",3808,2020, TJ
"Transport Sector",4040,2021, TJ
"Transport Sector",5043,2022, TJ
"Residential",26478,2000, TJ
"Residential",15879,2001, TJ
"Residential",14522,2002, TJ
"Residential",15019,2003, TJ
"Residential",15537,2004, TJ
"Residential",16750,2005, TJ
"Residential",18208,2006, TJ
"Residential",23191,2007, TJ
"Residential",21816,2008, TJ
"Residential",39211,2009, TJ
"Residential",41216,2010, TJ
"Residential",42001,2011, TJ
"Residential",43898,2012, TJ
"Residential",43365,2013, TJ
"Residential",43999,2014, TJ
"Residential",45176,2015, TJ
"Residential",40305,2016, TJ
"Residential",46007,2017, TJ
"Residential",48937,2018, TJ
"Residential",48523,2019, TJ
"Residential",55978,2020, TJ
"Residential",55662,2021, TJ
"Residential",62894,2022, TJ
"Commercial and Public Services",11300,2000, TJ
"Commercial and Public Services",6422,2001, TJ
"Commercial and Public Services",5374,2002, TJ
"Commercial and Public Services",5450,2003, TJ
"Commercial and Public Services",5187,2004, TJ
"Commercial and Public Services",5587,2005, TJ
"Commercial and Public Services",5878,2006, TJ
"Commercial and Public Services",5162,2007, TJ
"Commercial and Public Services",7595,2008, TJ
"Commercial and Public Services",11221,2009, TJ
"Commercial and Public Services",8074,2010, TJ
"Commercial and Public Services",8683,2011, TJ
"Commercial and Public Services",9532,2012, TJ
"Commercial and Public Services",10155,2013, TJ
"Commercial and Public Services",11912,2014, TJ
"Commercial and Public Services",12427,2015, TJ
"Commercial and Public Services",18871,2016, TJ
"Commercial and Public Services",14546,2017, TJ
"Commercial and Public Services",17895,2018, TJ
"Commercial and Public Services",17979,2019, TJ
"Commercial and Public Services",18860,2020, TJ
"Commercial and Public Services",26942,2021, TJ
"Commercial and Public Services",25831,2022, TJ
"Agriculture/Forestry",47350,2000, TJ
"Agriculture/Forestry",53114,2001, TJ
"Agriculture/Forestry",54950,2002, TJ
"Agriculture/Forestry",52120,2003, TJ
"Agriculture/Forestry",53211,2004, TJ
"Agriculture/Forestry",49294,2005, TJ
"Agriculture/Forestry",56606,2006, TJ
"Agriculture/Forestry",57938,2007, TJ
"Agriculture/Forestry",54810,2008, TJ
"Agriculture/Forestry",31975,2009, TJ
"Agriculture/Forestry",30985,2010, TJ
"Agriculture/Forestry",31608,2011, TJ
"Agriculture/Forestry",29941,2012, TJ
"Agriculture/Forestry",31687,2013, TJ
"Agriculture/Forestry",30452,2014, TJ
"Agriculture/Forestry",32511,2015, TJ
"Agriculture/Forestry",34207,2016, TJ
"Agriculture/Forestry",34861,2017, TJ
"Agriculture/Forestry",64994,2018, TJ
"Agriculture/Forestry",54208,2019, TJ
"Agriculture/Forestry",33128,2020, TJ
"Agriculture/Forestry",34720,2021, TJ
"Agriculture/Forestry",24887,2022, TJ
"Non-specified (Other)",,2000, TJ
"Non-specified (Other)",,2001, TJ
"Non-specified (Other)",,2002, TJ
"Non-specified (Other)",,2003, TJ
"Non-specified (Other)",,2004, TJ
"Non-specified (Other)",,2005, TJ
"Non-specified (Other)",,2006, TJ
"Non-specified (Other)",,2007, TJ
"Non-specified (Other)",,2008, TJ
"Non-specified (Other)",,2009, TJ
"Non-specified (Other)",,2010, TJ
"Non-specified (Other)",,2011, TJ
"Non-specified (Other)",,2012, TJ
"Non-specified (Other)",,2013, TJ
"Non-specified (Other)",,2014, TJ
"Non-specified (Other)",,2015, TJ
"Non-specified (Other)",,2016, TJ
"Non-specified (Other)",,2017, TJ
"Non-specified (Other)",,2018, TJ
"Non-specified (Other)",4212,2019, TJ
"Non-specified (Other)",4212,2020, TJ
"Non-specified (Other)",6012,2021, TJ
"Non-specified (Other)",4553,2022, TJ
