"emissions from power generation by source in Uzbekistan",Value,Year,Units
"Coal",3.534,2000, Mt CO2
"Coal",2.971,2001, Mt CO2
"Coal",3.17,2002, Mt CO2
"Coal",2.449,2003, Mt CO2
"Coal",3.368,2004, Mt CO2
"Coal",3.23,2005, Mt CO2
"Coal",3.451,2006, Mt CO2
"Coal",2.967,2007, Mt CO2
"Coal",3.79,2008, Mt CO2
"Coal",3.64,2009, Mt CO2
"Coal",3.056,2010, Mt CO2
"Coal",3.256,2011, Mt CO2
"Coal",4.353,2012, Mt CO2
"Coal",5.005,2013, Mt CO2
"Coal",5.262,2014, Mt CO2
"Coal",4.505,2015, Mt CO2
"Coal",4.612,2016, Mt CO2
"Coal",4.777,2017, Mt CO2
"Coal",4.905,2018, Mt CO2
"Coal",5.322,2019, Mt CO2
"Coal",6.709,2020, Mt CO2
"Coal",7.953,2021, Mt CO2
"Coal",8.683,2022, Mt CO2
"Oil",4.901,2000, Mt CO2
"Oil",4.901,2001, Mt CO2
"Oil",4.752,2002, Mt CO2
"Oil",4.238,2003, Mt CO2
"Oil",3.96,2004, Mt CO2
"Oil",3.201,2005, Mt CO2
"Oil",2.932,2006, Mt CO2
"Oil",2.192,2007, Mt CO2
"Oil",1.655,2008, Mt CO2
"Oil",1.21,2009, Mt CO2
"Oil",0.932,2010, Mt CO2
"Oil",0.719,2011, Mt CO2
"Oil",0.559,2012, Mt CO2
"Oil",0.458,2013, Mt CO2
"Oil",0.382,2014, Mt CO2
"Oil",0.327,2015, Mt CO2
"Oil",0.333,2016, Mt CO2
"Oil",0.331,2017, Mt CO2
"Oil",0.66,2018, Mt CO2
"Oil",0.844,2019, Mt CO2
"Oil",0.58,2020, Mt CO2
"Oil",1.479,2021, Mt CO2
"Oil",1.022,2022, Mt CO2
"Natural gas",30.237,2000, Mt CO2
"Natural gas",30.418,2001, Mt CO2
"Natural gas",30.35,2002, Mt CO2
"Natural gas",28.719,2003, Mt CO2
"Natural gas",31.099,2004, Mt CO2
"Natural gas",28.227,2005, Mt CO2
"Natural gas",32.686,2006, Mt CO2
"Natural gas",33.105,2007, Mt CO2
"Natural gas",35.182,2008, Mt CO2
"Natural gas",33.692,2009, Mt CO2
"Natural gas",33.948,2010, Mt CO2
"Natural gas",36.38,2011, Mt CO2
"Natural gas",35.751,2012, Mt CO2
"Natural gas",37.637,2013, Mt CO2
"Natural gas",38.201,2014, Mt CO2
"Natural gas",39.106,2015, Mt CO2
"Natural gas",40.22,2016, Mt CO2
"Natural gas",40.618,2017, Mt CO2
"Natural gas",31.527,2018, Mt CO2
"Natural gas",32.967,2019, Mt CO2
"Natural gas",32.113,2020, Mt CO2
"Natural gas",39.039,2021, Mt CO2
"Natural gas",34.376,2022, Mt CO2
