Scenario,Year,Central,East,South,SouthWest,NorthWest,Total_MWh,Total_TWh
Historical,2018,21166137.0,12937342.0,2755346.0,22172721.0,3712465.0,62744011.0,62.744011
Historical,2019,21292611.0,13710318.0,2869366.0,23300854.0,3947333.0,65120482.0,65.120482
Historical,2020,22312496.0,15031222.0,3002681.0,24222522.0,4466756.0,69035677.0,69.035677
Historical,2021,24318608.0,16718911.0,3368956.0,25415734.0,4752911.0,74575120.0,74.57512
Historical,2022,26221885.0,17193570.0,3345833.0,25568271.0,4721034.0,77050593.0,77.050593
Historical,2023,28388990.0,18288114.0,3333501.0,26003607.0,4952480.0,80966692.0,80.966692
Historical,2024,28799599.0,18541089.0,3198787.0,26323199.0,5179558.0,82042232.0,82.042232
Scenario1_135to150,2025,32948953.10722471,21352778.840081844,3421497.352919825,28032270.37021423,5831672.783018383,91587172.453459,91.58717245345899
Scenario1_135to150,2026,36108085.94427604,23500812.872269098,3585850.48807359,29287134.20208249,6325892.985034163,98807776.49173538,98.80777649173538
Scenario1_135to150,2027,39557730.303650245,25870541.855393235,3756728.958275301,30593328.03316843,6860175.1649859855,106638504.3154732,106.6385043154732
Scenario1_135to150,2028,43471766.87980718,28565218.73119806,3948641.9432232245,32054421.487898156,7464160.816193293,115504209.85831992,115.50420985831992
Scenario1_135to150,2029,47485425.71856243,31341359.92710854,4125055.1605591415,33390014.776321646,8068571.22966192,124410426.8122137,124.4104268122137
Scenario1_135to150,2030,52026334.94475896,34493107.26065368,4323252.6864343425,34881487.03824826,8750324.698909188,134474506.62900445,134.47450662900445
Scenario1_135to150,2031,53227654.865612775,35289574.2216335,4423079.237364998,35686921.926032394,8952375.052559895,137579605.30320355,137.57960530320355
Scenario1_135to150,2032,54578869.09585938,36190464.47118181,4535158.401393863,36591460.608711965,9178559.352018267,141074511.92916527,141.07451192916528
Scenario1_135to150,2033,55630294.70732037,36882508.14359313,4622732.339226308,37297791.70160065,9356475.75986131,143789802.65160176,143.78980265160178
Scenario1_135to150,2034,56831614.62817418,37678975.10457295,4722558.890156963,38103226.58938478,9558526.113512013,146894901.3258009,146.8949013258009
Scenario1_135to150,2035,58032934.54902797,38475442.06555277,4822385.441087618,38908661.4771689,9760576.46716272,150000000.0,150.0
