timestamp,Central,East,South,SouthWest,NorthWest,year,,,,Central,East,South,SouthWest,NorthWest,,Total
1/1/2018 0:00,2446,1508,328,2554,463,2018,,,2018," 21,166,137 "," 12,937,342 "," 2,755,346 "," 22,172,721 "," 3,712,465 ",," 62,744,011 "
1/1/2018 1:00,2297,1466,272,2444,405,2018,,,2019," 21,292,611 "," 13,710,318 "," 2,869,366 "," 23,300,854 "," 3,947,333 ",," 65,120,482 "
1/1/2018 2:00,2076,1441,244,2379,359,2018,,,2020," 22,312,496 "," 15,031,222 "," 3,002,681 "," 24,222,522 "," 4,466,756 ",," 69,035,677 "
1/1/2018 3:00,2082,1443,231,2337,339,2018,,,2021," 24,318,608 "," 16,718,911 "," 3,368,956 "," 25,415,734 "," 4,752,911 ",," 74,575,120 "
1/1/2018 4:00,2132,1407,231,2297,322,2018,,,2022," 26,221,885 "," 17,193,570 "," 3,345,833 "," 25,568,271 "," 4,721,034 ",," 77,050,593 "
1/1/2018 5:00,2133,1471,213,2336,320,2018,,,2023," 28,388,990 "," 18,288,114 "," 3,333,501 "," 26,003,607 "," 4,952,480 ",," 80,966,692 "
1/1/2018 6:00,2052,1659,255,2370,335,2018,,,2024," 28,799,599 "," 18,541,089 "," 3,198,787 "," 26,323,199 "," 5,179,558 ",," 82,042,232 "
1/1/2018 7:00,2144,1673,260,2471,386,2018,,,,,,,,,,
1/1/2018 8:00,2108,1605,283,2452,436,2018,,,,,,,,,,
1/1/2018 9:00,2130,1583,241,2426,439,2018,,,,,,,,,,
1/1/2018 10:00,2094,1485,227,2359,429,2018,,,,,,,,,,
1/1/2018 11:00,2074,1469,227,2300,426,2018,,,,,,,,,,
1/1/2018 12:00,2056,1395,213,2238,409,2018,,,,,,,,,,
1/1/2018 13:00,2017,1387,213,2209,392,2018,,,,,,,,,,
1/1/2018 14:00,2076,1353,208,2218,387,2018,,,,,,,,,,
1/1/2018 15:00,2069,1414,223,2245,394,2018,,,,,,,,,,
1/1/2018 16:00,2213,1620,269,2366,442,2018,,,,,,,,,,
1/1/2018 17:00,2493,1790,366,2672,516,2018,,,,,,,,,,
1/1/2018 18:00,2582,1711,376,2726,530,2018,,,,,,,,,,
1/1/2018 19:00,2512,1685,363,2694,518,2018,,,,,,,,,,
1/1/2018 20:00,2551,1638,361,2637,507,2018,,,,,,,,,,
1/1/2018 21:00,2456,1550,321,2550,481,2018,,,,,,,,,,
1/1/2018 22:00,2413,1454,297,2434,432,2018,,,,,,,,,,
1/1/2018 23:00,2281,1432,255,2327,386,2018,,,,,,,,,,
1/2/2018 0:00,2200,1375,265,2277,342,2018,,,,,,,,,,
1/2/2018 1:00,2159,1323,237,2322,326,2018,,,,,,,,,,
1/2/2018 2:00,2163,1367,264,2243,324,2018,,,,,,,,,,
1/2/2018 3:00,2123,1397,264,2244,325,2018,,,,,,,,,,
1/2/2018 4:00,2165,1385,263,2246,314,2018,,,,,,,,,,
1/2/2018 5:00,2069,1495,265,2350,323,2018,,,,,,,,,,
1/2/2018 6:00,2174,1620,283,2504,360,2018,,,,,,,,,,
1/2/2018 7:00,2311,1654,306,2538,428,2018,,,,,,,,,,
1/2/2018 8:00,2273,1626,306,2499,484,2018,,,,,,,,,,
1/2/2018 9:00,2360,1578,273,2436,489,2018,,,,,,,,,,
1/2/2018 10:00,2425,1548,255,2422,480,2018,,,,,,,,,,
1/2/2018 11:00,2352,1516,241,2391,476,2018,,,,,,,,,,
1/2/2018 12:00,2337,1457,237,2327,463,2018,,,,,,,,,,
1/2/2018 13:00,2289,1451,237,2338,440,2018,,,,,,,,,,
1/2/2018 14:00,2264,1483,223,2324,444,2018,,,,,,,,,,
1/2/2018 15:00,2253,1559,227,2379,478,2018,,,,,,,,,,
1/2/2018 16:00,2394,1762,283,2467,506,2018,,,,,,,,,,
1/2/2018 17:00,2707,1903,366,2784,566,2018,,,,,,,,,,
1/2/2018 18:00,2738,1918,379,2799,575,2018,,,,,,,,,,
1/2/2018 19:00,2720,1835,376,2754,561,2018,,,,,,,,,,
1/2/2018 20:00,2709,1819,366,2752,556,2018,,,,,,,,,,
1/2/2018 21:00,2588,1725,348,2633,528,2018,,,,,,,,,,
1/2/2018 22:00,2490,1628,311,2496,476,2018,,,,,,,,,,
1/2/2018 23:00,2254,1565,292,2410,411,2018,,,,,,,,,,
1/3/2018 0:00,2228,1510,288,2367,373,2018,,,,,,,,,,
1/3/2018 1:00,2057,1520,293,2446,357,2018,,,,,,,,,,
1/3/2018 2:00,2066,1490,266,2279,345,2018,,,,,,,,,,
1/3/2018 3:00,2114,1474,321,2292,340,2018,,,,,,,,,,
1/3/2018 4:00,2071,1531,261,2304,340,2018,,,,,,,,,,
1/3/2018 5:00,2183,1594,261,2366,353,2018,,,,,,,,,,
1/3/2018 6:00,2213,1829,325,2497,405,2018,,,,,,,,,,
1/3/2018 7:00,2328,1809,339,2618,458,2018,,,,,,,,,,
1/3/2018 8:00,2462,1739,311,2601,514,2018,,,,,,,,,,
1/3/2018 9:00,2454,1745,311,2569,503,2018,,,,,,,,,,
1/3/2018 10:00,2482,1726,321,2575,498,2018,,,,,,,,,,
1/3/2018 11:00,2530,1710,293,2535,501,2018,,,,,,,,,,
1/3/2018 12:00,2539,1694,293,2489,483,2018,,,,,,,,,,
1/3/2018 13:00,2415,1720,273,2521,472,2018,,,,,,,,,,
1/3/2018 14:00,2393,1714,283,2509,474,2018,,,,,,,,,,
1/3/2018 15:00,2414,1773,283,2580,497,2018,,,,,,,,,,
1/3/2018 16:00,2600,1903,329,2613,528,2018,,,,,,,,,,
1/3/2018 17:00,2821,1980,383,2858,586,2018,,,,,,,,,,
1/3/2018 18:00,2788,1920,397,2886,595,2018,,,,,,,,,,
1/3/2018 19:00,2673,1891,393,2829,583,2018,,,,,,,,,,
1/3/2018 20:00,2701,1854,393,2784,570,2018,,,,,,,,,,
1/3/2018 21:00,2658,1793,379,2658,543,2018,,,,,,,,,,
1/3/2018 22:00,2522,1651,311,2540,485,2018,,,,,,,,,,
1/3/2018 23:00,2336,1617,283,2412,417,2018,,,,,,,,,,
1/4/2018 0:00,2174,1578,269,2407,378,2018,,,,,,,,,,
1/4/2018 1:00,2208,1503,295,2382,360,2018,,,,,,,,,,
1/4/2018 2:00,2147,1547,295,2371,349,2018,,,,,,,,,,
1/4/2018 3:00,2124,1523,281,2385,344,2018,,,,,,,,,,
1/4/2018 4:00,2212,1570,267,2371,346,2018,,,,,,,,,,
1/4/2018 5:00,2315,1682,255,2393,358,2018,,,,,,,,,,
1/4/2018 6:00,2442,1863,329,2528,408,2018,,,,,,,,,,
1/4/2018 7:00,2647,1853,366,2618,492,2018,,,,,,,,,,
1/4/2018 8:00,2704,1758,316,2629,549,2018,,,,,,,,,,
1/4/2018 9:00,2696,1680,283,2555,550,2018,,,,,,,,,,
1/4/2018 10:00,2759,1745,295,2504,530,2018,,,,,,,,,,
1/4/2018 11:00,2824,1693,316,2500,533,2018,,,,,,,,,,
1/4/2018 12:00,2761,1652,307,2525,529,2018,,,,,,,,,,
1/4/2018 13:00,2827,1678,275,2558,516,2018,,,,,,,,,,
1/4/2018 14:00,2782,1640,325,2570,524,2018,,,,,,,,,,
1/4/2018 15:00,2783,1753,339,2643,527,2018,,,,,,,,,,
1/4/2018 16:00,2909,1831,363,2722,565,2018,,,,,,,,,,
1/4/2018 17:00,3005,1855,388,2936,578,2018,,,,,,,,,,
1/4/2018 18:00,2920,1897,393,2939,587,2018,,,,,,,,,,
1/4/2018 19:00,2846,1926,417,2901,582,2018,,,,,,,,,,
1/4/2018 20:00,2788,1819,386,2866,571,2018,,,,,,,,,,
1/4/2018 21:00,2775,1796,366,2719,547,2018,,,,,,,,,,
1/4/2018 22:00,2607,1667,331,2549,491,2018,,,,,,,,,,
1/4/2018 23:00,2405,1611,275,2447,424,2018,,,,,,,,,,
1/5/2018 0:00,2338,1555,290,2380,390,2018,,,,,,,,,,
1/5/2018 1:00,2258,1569,261,2362,373,2018,,,,,,,,,,
1/5/2018 2:00,2240,1552,271,2334,360,2018,,,,,,,,,,
1/5/2018 3:00,2212,1582,257,2375,358,2018,,,,,,,,,,
1/5/2018 4:00,2280,1548,257,2347,359,2018,,,,,,,,,,
1/5/2018 5:00,1029,1671,275,2237,370,2018,,,,,,,,,,
1/5/2018 6:00,2508,1831,307,2557,430,2018,,,,,,,,,,
1/5/2018 7:00,2561,1880,353,2682,505,2018,,,,,,,,,,
1/5/2018 8:00,2741,1859,331,2618,549,2018,,,,,,,,,,
1/5/2018 9:00,2774,1763,303,2539,527,2018,,,,,,,,,,
1/5/2018 10:00,2704,1678,311,2519,525,2018,,,,,,,,,,
1/5/2018 11:00,2679,1650,311,2480,516,2018,,,,,,,,,,
1/5/2018 12:00,2635,1695,283,2442,506,2018,,,,,,,,,,
1/5/2018 13:00,2635,1743,297,2439,482,2018,,,,,,,,,,
1/5/2018 14:00,2580,1746,297,2467,489,2018,,,,,,,,,,
1/5/2018 15:00,2728,1835,311,2502,513,2018,,,,,,,,,,
1/5/2018 16:00,2779,1913,339,2606,528,2018,,,,,,,,,,
1/5/2018 17:00,2897,1932,421,2939,587,2018,,,,,,,,,,
1/5/2018 18:00,2886,1942,417,2912,587,2018,,,,,,,,,,
1/5/2018 19:00,2849,1932,407,2853,585,2018,,,,,,,,,,
1/5/2018 20:00,2827,1904,407,2831,579,2018,,,,,,,,,,
1/5/2018 21:00,2712,1782,393,2744,548,2018,,,,,,,,,,
1/5/2018 22:00,2637,1670,352,2586,484,2018,,,,,,,,,,
1/5/2018 23:00,2471,1601,301,2459,436,2018,,,,,,,,,,
1/6/2018 0:00,2376,1563,300,2406,394,2018,,,,,,,,,,
1/6/2018 1:00,2349,1510,300,2383,387,2018,,,,,,,,,,
1/6/2018 2:00,2323,1536,410,2343,365,2018,,,,,,,,,,
1/6/2018 3:00,2237,1519,410,2357,357,2018,,,,,,,,,,
1/6/2018 4:00,2384,1550,275,2446,359,2018,,,,,,,,,,
1/6/2018 5:00,2430,1705,339,2431,373,2018,,,,,,,,,,
1/6/2018 6:00,2469,1861,361,2585,456,2018,,,,,,,,,,
1/6/2018 7:00,2606,1887,389,2700,500,2018,,,,,,,,,,
1/6/2018 8:00,2750,1835,353,2640,535,2018,,,,,,,,,,
1/6/2018 9:00,2742,1767,334,2676,542,2018,,,,,,,,,,
1/6/2018 10:00,2762,1724,311,2637,531,2018,,,,,,,,,,
1/6/2018 11:00,2695,1713,307,2554,529,2018,,,,,,,,,,
1/6/2018 12:00,2690,1702,321,2484,508,2018,,,,,,,,,,
1/6/2018 13:00,2674,1746,278,2446,493,2018,,,,,,,,,,
1/6/2018 14:00,2720,1718,278,2408,487,2018,,,,,,,,,,
1/6/2018 15:00,2797,1791,306,2490,489,2018,,,,,,,,,,
1/6/2018 16:00,2853,1931,339,2561,515,2018,,,,,,,,,,
1/6/2018 17:00,2959,2040,407,2885,581,2018,,,,,,,,,,
1/6/2018 18:00,2981,1903,421,2909,595,2018,,,,,,,,,,
1/6/2018 19:00,2878,1972,421,2872,589,2018,,,,,,,,,,
1/6/2018 20:00,2797,1898,421,2792,572,2018,,,,,,,,,,
1/6/2018 21:00,2729,1784,397,2757,550,2018,,,,,,,,,,
1/6/2018 22:00,2685,1666,356,2610,494,2018,,,,,,,,,,
1/6/2018 23:00,2506,1631,329,2472,440,2018,,,,,,,,,,
1/7/2018 0:00,2437,1602,318,2416,397,2018,,,,,,,,,,
1/7/2018 1:00,2373,1571,318,2356,375,2018,,,,,,,,,,
1/7/2018 2:00,2295,1562,318,2327,366,2018,,,,,,,,,,
1/7/2018 3:00,2314,1514,318,2302,366,2018,,,,,,,,,,
1/7/2018 4:00,2300,1609,303,2349,365,2018,,,,,,,,,,
1/7/2018 5:00,2438,1663,321,2421,376,2018,,,,,,,,,,
1/7/2018 6:00,2435,1794,369,2551,416,2018,,,,,,,,,,
1/7/2018 7:00,2502,1806,393,2663,472,2018,,,,,,,,,,
1/7/2018 8:00,2512,1799,366,2635,526,2018,,,,,,,,,,
1/7/2018 9:00,2577,1685,339,2617,539,2018,,,,,,,,,,
1/7/2018 10:00,2610,1672,339,2574,531,2018,,,,,,,,,,
1/7/2018 11:00,2530,1661,339,2598,538,2018,,,,,,,,,,
1/7/2018 12:00,2514,1632,311,2581,522,2018,,,,,,,,,,
1/7/2018 13:00,2435,1657,329,2610,511,2018,,,,,,,,,,
1/7/2018 14:00,2553,1660,315,2584,520,2018,,,,,,,,,,
1/7/2018 15:00,2539,1713,359,2635,531,2018,,,,,,,,,,
1/7/2018 16:00,2819,1822,376,2794,558,2018,,,,,,,,,,
1/7/2018 17:00,3005,1870,417,2923,569,2018,,,,,,,,,,
1/7/2018 18:00,2878,1912,445,2929,582,2018,,,,,,,,,,
1/7/2018 19:00,2913,1904,435,2915,576,2018,,,,,,,,,,
1/7/2018 20:00,2915,1846,435,2845,566,2018,,,,,,,,,,
1/7/2018 21:00,2828,1698,407,2663,535,2018,,,,,,,,,,
1/7/2018 22:00,2641,1747,363,2567,479,2018,,,,,,,,,,
1/7/2018 23:00,2544,1575,339,2460,420,2018,,,,,,,,,,
1/8/2018 0:00,2440,1537,311,2426,383,2018,,,,,,,,,,
1/8/2018 1:00,2359,1537,325,2403,368,2018,,,,,,,,,,
1/8/2018 2:00,2337,1505,325,2403,355,2018,,,,,,,,,,
1/8/2018 3:00,2388,1551,321,2361,352,2018,,,,,,,,,,
1/8/2018 4:00,2395,1611,331,2371,351,2018,,,,,,,,,,
1/8/2018 5:00,2469,1670,339,2469,363,2018,,,,,,,,,,
1/8/2018 6:00,2615,1822,379,2596,417,2018,,,,,,,,,,
1/8/2018 7:00,2737,1825,393,2744,498,2018,,,,,,,,,,
1/8/2018 8:00,2857,1705,349,2701,549,2018,,,,,,,,,,
1/8/2018 9:00,2959,1664,360,2652,527,2018,,,,,,,,,,
1/8/2018 10:00,2990,1640,359,2605,527,2018,,,,,,,,,,
1/8/2018 11:00,2933,1672,345,2669,540,2018,,,,,,,,,,
1/8/2018 12:00,2970,1644,345,2663,521,2018,,,,,,,,,,
1/8/2018 13:00,2924,1693,359,2589,521,2018,,,,,,,,,,
1/8/2018 14:00,2974,1617,345,2650,525,2018,,,,,,,,,,
1/8/2018 15:00,2867,1660,359,2707,527,2018,,,,,,,,,,
1/8/2018 16:00,3049,1772,353,2731,555,2018,,,,,,,,,,
1/8/2018 17:00,3105,1905,393,2916,576,2018,,,,,,,,,,
1/8/2018 18:00,2911,1904,455,2929,578,2018,,,,,,,,,,
1/8/2018 19:00,2961,1856,477,2915,575,2018,,,,,,,,,,
1/8/2018 20:00,2913,1818,463,2888,571,2018,,,,,,,,,,
1/8/2018 21:00,2987,1714,477,2752,549,2018,,,,,,,,,,
1/8/2018 22:00,2671,1717,407,2613,494,2018,,,,,,,,,,
1/8/2018 23:00,2554,1663,380,2492,428,2018,,,,,,,,,,
1/9/2018 0:00,2487,1617,372,2479,386,2018,,,,,,,,,,
1/9/2018 1:00,2367,1582,386,2388,370,2018,,,,,,,,,,
1/9/2018 2:00,2332,1543,359,2461,357,2018,,,,,,,,,,
1/9/2018 3:00,2348,1558,373,2399,355,2018,,,,,,,,,,
1/9/2018 4:00,2378,1611,350,2394,362,2018,,,,,,,,,,
1/9/2018 5:00,2441,1738,376,2460,378,2018,,,,,,,,,,
1/9/2018 6:00,2613,1878,404,2632,428,2018,,,,,,,,,,
1/9/2018 7:00,2679,1897,435,2738,505,2018,,,,,,,,,,
1/9/2018 8:00,2803,1734,431,2701,553,2018,,,,,,,,,,
1/9/2018 9:00,2862,1704,399,2714,545,2018,,,,,,,,,,
1/9/2018 10:00,2959,1654,362,2666,542,2018,,,,,,,,,,
1/9/2018 11:00,2898,1620,362,2611,538,2018,,,,,,,,,,
1/9/2018 12:00,2778,1670,364,2582,534,2018,,,,,,,,,,
1/9/2018 13:00,2971,1687,343,2615,524,2018,,,,,,,,,,
1/9/2018 14:00,2828,1692,352,2587,521,2018,,,,,,,,,,
1/9/2018 15:00,2911,1634,372,2618,519,2018,,,,,,,,,,
1/9/2018 16:00,2927,1734,406,2671,531,2018,,,,,,,,,,
1/9/2018 17:00,3146,1794,449,2902,573,2018,,,,,,,,,,
1/9/2018 18:00,3066,1859,431,2968,578,2018,,,,,,,,,,
1/9/2018 19:00,3013,1827,431,2972,580,2018,,,,,,,,,,
1/9/2018 20:00,2957,1799,469,2877,570,2018,,,,,,,,,,
1/9/2018 21:00,2893,1671,421,2784,558,2018,,,,,,,,,,
1/9/2018 22:00,2640,1724,394,2633,503,2018,,,,,,,,,,
1/9/2018 23:00,2575,1620,370,2546,443,2018,,,,,,,,,,
1/10/2018 0:00,2455,1587,362,2480,384,2018,,,,,,,,,,
1/10/2018 1:00,2407,1581,362,2432,368,2018,,,,,,,,,,
1/10/2018 2:00,2378,1530,368,2441,357,2018,,,,,,,,,,
1/10/2018 3:00,2406,1567,354,2453,351,2018,,,,,,,,,,
1/10/2018 4:00,2418,1599,368,2495,361,2018,,,,,,,,,,
