,Central,East,South,SouthWest,NorthWest
2030-01-01 00:00:00,5478.391207897815,3976.113281182284,452.243847586445,3799.784155424743,875.8305709636938
2030-01-01 01:00:00,5440.194989977428,3903.286015264872,439.9893782347367,3781.811116853009,821.6186175542462
2030-01-01 02:00:00,5356.765272012033,3862.5028343635536,434.5828565661789,3765.879083036679,784.3006383934035
2030-01-01 03:00:00,5391.235706390904,3970.4071703292566,438.3104857269282,3642.952692326136,798.9119258083281
2030-01-01 04:00:00,5399.903194705556,4019.0933098781447,444.2410755289554,3817.4518045052096,802.8749661551985
2030-01-01 05:00:00,5492.55449372273,4405.254608329119,484.9096344479805,3897.382003594681,855.1524899248425
2030-01-01 06:00:00,5723.467248189906,4589.534172460743,535.662462252208,4104.608957017613,991.0600160723084
2030-01-01 07:00:00,5994.939634864286,4596.582017008945,529.7287490559686,4092.156272811029,1148.3754126969077
2030-01-01 08:00:00,6387.38258166239,4742.495087957528,533.2499127849675,4130.899659325948,1207.6282249159765
2030-01-01 09:00:00,6673.814337920509,4729.198711079657,522.8595305188161,4277.753962489976,1214.1316918393577
2030-01-01 10:00:00,6718.174723048291,4675.569342350487,525.6104068177511,4136.196469285096,1212.4696940224512
2030-01-01 11:00:00,6511.883548301273,4612.197251232074,512.3932083008243,4083.482967709049,1208.055004157606
2030-01-01 12:00:00,6483.70175240631,4488.821815612169,515.6229709326134,4195.116177548269,1170.5571810942029
2030-01-01 13:00:00,6706.285628480521,4535.167503616834,530.7410471833495,4114.546522779614,1139.4598178015049
2030-01-01 14:00:00,6664.578110608801,4482.402618845343,515.3740675185544,4088.7039461082177,1166.7331352040924
2030-01-01 15:00:00,6553.900796215152,4695.981302601516,519.4964996986829,4030.730857525572,1166.189949397472
2030-01-01 16:00:00,6833.7501005849335,4793.552410027013,554.4154946045269,4155.140891218877,1196.3397671905518
2030-01-01 17:00:00,6759.101875113563,4921.652176622689,585.0506627127837,4436.249373335307,1271.5681086391576
2030-01-01 18:00:00,6867.486872153698,5085.402917310861,607.2982841846672,4549.289711131092,1303.4346325462775
2030-01-01 19:00:00,6893.654630836308,5104.513216111303,624.0203466118629,4502.264524434128,1295.8443228305223
2030-01-01 20:00:00,6928.130222106581,5034.967231991909,617.5206535615605,4452.356811411624,1284.430786134562
2030-01-01 21:00:00,6683.08127227003,4770.852720735282,578.7906622164688,4213.293716253522,1214.1473879721234
2030-01-01 22:00:00,6326.090591060709,4435.113728443775,526.7273149762707,4088.473782973913,1121.3518043243284
2030-01-01 23:00:00,5836.745101515114,4161.325867206925,487.940656167569,3927.4855469639024,982.3169417898882
2030-01-02 00:00:00,5537.739980315534,4032.902418979883,458.4665098130258,3782.5692444159167,867.5948824638076
2030-01-02 01:00:00,5441.390880924711,3864.8778791865566,437.31242467549134,3750.886611253255,823.0791825606228
2030-01-02 02:00:00,5406.072937437842,3883.347143148642,434.2367261411944,3777.297136000847,794.2387558967225
2030-01-02 03:00:00,5355.615092853543,3969.7415533835033,437.2670354031837,3777.009144675999,784.192554914565
2030-01-02 04:00:00,5319.494769558724,4029.3289982163824,447.2892283456915,3803.719209574071,812.543292261223
2030-01-02 05:00:00,5571.414748768558,4359.525334084538,484.823814209372,3871.343455076993,856.2087558339746
2030-01-02 06:00:00,5731.1848940691325,4683.153625705371,518.7451625263224,4126.542526284099,1013.0311591780192
2030-01-02 07:00:00,5951.236411668727,4561.73409112056,528.1807300372789,4211.542853816398,1156.5192950645207
2030-01-02 08:00:00,6361.412580066526,4728.453413167487,530.8894087387418,4169.70805107416,1214.4935170025826
2030-01-02 09:00:00,6686.132926580214,4712.047365338526,510.7972419296684,4291.667605678461,1237.3074666228458
2030-01-02 10:00:00,6606.169447884907,4519.074170512498,515.1317149395886,4175.23713932231,1199.574074236609
2030-01-02 11:00:00,6591.460618867281,4565.363966826679,521.2253070024205,4210.282696936109,1202.3325030249607
2030-01-02 12:00:00,6649.462473973023,4536.670691399078,515.0878967622359,4118.994987738347,1158.6738773142797
2030-01-02 13:00:00,6633.546402037247,4563.151767830308,511.3231879318079,4139.226917259025,1146.178582008526
2030-01-02 14:00:00,6580.370135160684,4549.001153517018,526.4777786944796,4139.250598054127,1135.9723206358522
2030-01-02 15:00:00,6723.529118645149,4571.791931620212,523.1698321734713,4171.803218814323,1162.9443832713998
2030-01-02 16:00:00,6681.041628039604,4880.3382023666445,556.4826439280974,4265.609923934589,1218.2128945515472
2030-01-02 17:00:00,6877.790794204522,5045.028829152514,575.3283860616568,4378.678433145923,1269.2321038329717
2030-01-02 18:00:00,6812.679244677101,5073.259347377949,590.9300717344827,4480.151087636727,1299.8744719966846
2030-01-02 19:00:00,6870.700815655491,5029.986364875826,616.643896698238,4449.505886883155,1310.269717484892
2030-01-02 20:00:00,6911.656864016621,4939.816022479553,599.7822494717301,4441.362835259127,1324.6836367361998
2030-01-02 21:00:00,6766.806271798713,4749.143764929614,583.9293243643572,4302.550919033141,1253.36768299021
2030-01-02 22:00:00,6279.85108021344,4350.872793682543,519.4318794111159,4227.353483092172,1114.4829052508371
2030-01-02 23:00:00,5880.5023468081245,4143.538852050511,477.4653715198169,3966.482524476544,960.8459070909444
2030-01-03 00:00:00,5552.153549656447,4030.43259080472,460.817380068083,3882.953660069644,859.5283889124286
2030-01-03 01:00:00,5527.482230239446,3918.0259070523616,436.9228318766236,3823.981834514157,820.7954104949673
2030-01-03 02:00:00,5435.753410076571,3929.323106418244,426.400969559507,3802.068472255373,808.2609174921329
2030-01-03 03:00:00,5425.826126736271,4010.523437280016,430.6101266703447,3753.152980287144,795.5702125068931
2030-01-03 04:00:00,5351.235305834472,4108.192019032555,443.5284831288648,3770.181090040851,815.0024307137207
2030-01-03 05:00:00,5572.764429462122,4425.300847707203,486.35497583361655,3855.8950851252334,855.3005933309006
2030-01-03 06:00:00,5854.145898515752,4654.626215004157,524.248105987508,4096.3299894441225,987.2816908874694
2030-01-03 07:00:00,6051.313063009136,4682.140069551464,533.9419733807583,4218.090798871441,1142.873792119002
2030-01-03 08:00:00,6546.51511723662,4592.287560319261,526.0687996723091,4233.010870624072,1201.4631525135617
2030-01-03 09:00:00,6678.228018690872,4700.653811842597,518.8173924446828,4205.340755361252,1243.095204987736
2030-01-03 10:00:00,6774.903458143757,4695.099448000042,519.9816873077208,4216.19948790553,1220.3130276937288
2030-01-03 11:00:00,6710.093746842501,4551.368427509441,521.2814533898288,4183.467087592731,1229.9835277204163
2030-01-03 12:00:00,6459.745737125331,4449.548724793418,520.440375810801,4162.46593956589,1161.0406107315166
2030-01-03 13:00:00,6467.010076904393,4559.380170555817,530.9270945836303,4110.221118374749,1155.7807532325098
2030-01-03 14:00:00,6543.672453443771,4592.55473705382,521.678751273551,4182.19863198708,1148.5511641574526
2030-01-03 15:00:00,6592.508613399315,4692.974222107288,523.3426377565116,4234.71808883833,1164.7168718614982
2030-01-03 16:00:00,6803.325311536299,4866.561992887358,548.7921919831857,4227.286634846739,1188.3024357115112
2030-01-03 17:00:00,6889.680249874185,4959.531265204556,579.3697631086803,4385.296667669607,1256.613684819699
2030-01-03 18:00:00,6783.575635279806,5001.22621342071,608.0465542567183,4502.94849838782,1273.560418387659
2030-01-03 19:00:00,6885.5998295759855,5115.467273505527,619.9971785477308,4497.299532850151,1322.936033707562
2030-01-03 20:00:00,6865.648617224165,5098.245191048849,606.0961166833647,4405.557996465009,1282.019390848929
