# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 40.739, 71.766 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Asia/Karachi, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Asia/Karachi", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "40.73941377770845", "lon": "71.76615222429818", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": "true"}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 05:00,0,0,0,3.206
2019-01-01 01:00,2019-01-01 06:00,0,0,0,3.047
2019-01-01 02:00,2019-01-01 07:00,0,0.002,0.003,2.679
2019-01-01 03:00,2019-01-01 08:00,0.107,0.069,0.062,4.113
2019-01-01 04:00,2019-01-01 09:00,0.241,0.148,0.123,7.127
2019-01-01 05:00,2019-01-01 10:00,0.239,0.105,0.166,9.175
2019-01-01 06:00,2019-01-01 11:00,0.201,0.057,0.176,10.486
2019-01-01 07:00,2019-01-01 12:00,0.154,0.028,0.155,11.051
2019-01-01 08:00,2019-01-01 13:00,0.104,0.014,0.118,10.662
2019-01-01 09:00,2019-01-01 14:00,0.062,0.007,0.079,9.612
2019-01-01 10:00,2019-01-01 15:00,0.022,0.003,0.039,8.760
2019-01-01 11:00,2019-01-01 16:00,0,0.001,0.007,7.522
2019-01-01 12:00,2019-01-01 17:00,0,0,0,6.154
2019-01-01 13:00,2019-01-01 18:00,0,0,0,5.496
2019-01-01 14:00,2019-01-01 19:00,0,0,0,4.880
2019-01-01 15:00,2019-01-01 20:00,0,0,0,4.321
2019-01-01 16:00,2019-01-01 21:00,0,0,0,3.862
2019-01-01 17:00,2019-01-01 22:00,0,0,0,3.218
2019-01-01 18:00,2019-01-01 23:00,0,0,0,2.784
2019-01-01 19:00,2019-01-02 00:00,0,0,0,2.525
2019-01-01 20:00,2019-01-02 01:00,0,0,0,2.272
2019-01-01 21:00,2019-01-02 02:00,0,0,0,2.099
2019-01-01 22:00,2019-01-02 03:00,0,0,0,2.002
2019-01-01 23:00,2019-01-02 04:00,0,0,0,1.856
2019-01-02 00:00,2019-01-02 05:00,0,0,0,1.728
2019-01-02 01:00,2019-01-02 06:00,0,0,0,1.727
2019-01-02 02:00,2019-01-02 07:00,0,0,0.002,1.773
2019-01-02 03:00,2019-01-02 08:00,0.040,0.015,0.046,2.681
2019-01-02 04:00,2019-01-02 09:00,0.157,0.066,0.115,4.267
2019-01-02 05:00,2019-01-02 10:00,0.308,0.178,0.162,5.669
2019-01-02 06:00,2019-01-02 11:00,0.401,0.264,0.180,6.869
2019-01-02 07:00,2019-01-02 12:00,0.362,0.213,0.190,7.647
2019-01-02 08:00,2019-01-02 13:00,0.273,0.129,0.177,7.951
2019-01-02 09:00,2019-01-02 14:00,0.167,0.060,0.134,7.743
2019-01-02 10:00,2019-01-02 15:00,0.074,0.024,0.074,6.772
2019-01-02 11:00,2019-01-02 16:00,0.004,0.005,0.015,4.550
2019-01-02 12:00,2019-01-02 17:00,0,0,0,3.197
2019-01-02 13:00,2019-01-02 18:00,0,0,0,2.675
2019-01-02 14:00,2019-01-02 19:00,0,0,0,2.199
2019-01-02 15:00,2019-01-02 20:00,0,0,0,1.590
2019-01-02 16:00,2019-01-02 21:00,0,0,0,1.066
2019-01-02 17:00,2019-01-02 22:00,0,0,0,0.695
2019-01-02 18:00,2019-01-02 23:00,0,0,0,0.685
2019-01-02 19:00,2019-01-03 00:00,0,0,0,0.682
2019-01-02 20:00,2019-01-03 01:00,0,0,0,0.486
2019-01-02 21:00,2019-01-03 02:00,0,0,0,0.193
2019-01-02 22:00,2019-01-03 03:00,0,0,0,-0.096
2019-01-02 23:00,2019-01-03 04:00,0,0,0,-0.366
2019-01-03 00:00,2019-01-03 05:00,0,0,0,-0.619
2019-01-03 01:00,2019-01-03 06:00,0,0,0,-0.747
2019-01-03 02:00,2019-01-03 07:00,0,0.005,0.004,-0.793
2019-01-03 03:00,2019-01-03 08:00,0.152,0.120,0.054,1.658
2019-01-03 04:00,2019-01-03 09:00,0.358,0.305,0.089,5.059
2019-01-03 05:00,2019-01-03 10:00,0.588,0.588,0.082,7.463
2019-01-03 06:00,2019-01-03 11:00,0.701,0.751,0.075,9.291
2019-01-03 07:00,2019-01-03 12:00,0.686,0.729,0.082,10.341
2019-01-03 08:00,2019-01-03 13:00,0.593,0.597,0.092,10.805
2019-01-03 09:00,2019-01-03 14:00,0.421,0.379,0.097,10.686
2019-01-03 10:00,2019-01-03 15:00,0.207,0.161,0.077,9.389
2019-01-03 11:00,2019-01-03 16:00,0.040,0.041,0.020,6.288
2019-01-03 12:00,2019-01-03 17:00,0,0,0,4.243
2019-01-03 13:00,2019-01-03 18:00,0,0,0,3.344
2019-01-03 14:00,2019-01-03 19:00,0,0,0,2.539
2019-01-03 15:00,2019-01-03 20:00,0,0,0,1.897
2019-01-03 16:00,2019-01-03 21:00,0,0,0,1.496
2019-01-03 17:00,2019-01-03 22:00,0,0,0,1.267
2019-01-03 18:00,2019-01-03 23:00,0,0,0,1.036
2019-01-03 19:00,2019-01-04 00:00,0,0,0,0.942
2019-01-03 20:00,2019-01-04 01:00,0,0,0,1.070
2019-01-03 21:00,2019-01-04 02:00,0,0,0,1.286
2019-01-03 22:00,2019-01-04 03:00,0,0,0,1.225
2019-01-03 23:00,2019-01-04 04:00,0,0,0,1.151
2019-01-04 00:00,2019-01-04 05:00,0,0,0,1.326
2019-01-04 01:00,2019-01-04 06:00,0,0,0,1.141
2019-01-04 02:00,2019-01-04 07:00,0,0.002,0.004,1.340
2019-01-04 03:00,2019-01-04 08:00,0.064,0.029,0.057,3.053
2019-01-04 04:00,2019-01-04 09:00,0.137,0.046,0.116,5.324
2019-01-04 05:00,2019-01-04 10:00,0.179,0.051,0.156,7.224
2019-01-04 06:00,2019-01-04 11:00,0.172,0.036,0.164,8.222
2019-01-04 07:00,2019-01-04 12:00,0.144,0.022,0.149,8.563
2019-01-04 08:00,2019-01-04 13:00,0.092,0.010,0.107,8.007
2019-01-04 09:00,2019-01-04 14:00,0.061,0.006,0.078,7.381
2019-01-04 10:00,2019-01-04 15:00,0.027,0.004,0.044,6.863
2019-01-04 11:00,2019-01-04 16:00,0,0.002,0.011,6.375
2019-01-04 12:00,2019-01-04 17:00,0,0,0,5.911
2019-01-04 13:00,2019-01-04 18:00,0,0,0,5.025
2019-01-04 14:00,2019-01-04 19:00,0,0,0,4.580
2019-01-04 15:00,2019-01-04 20:00,0,0,0,4.290
2019-01-04 16:00,2019-01-04 21:00,0,0,0,4.162
2019-01-04 17:00,2019-01-04 22:00,0,0,0,3.737
2019-01-04 18:00,2019-01-04 23:00,0,0,0,3.590
2019-01-04 19:00,2019-01-05 00:00,0,0,0,3.239
2019-01-04 20:00,2019-01-05 01:00,0,0,0,2.752
2019-01-04 21:00,2019-01-05 02:00,0,0,0,2.435
2019-01-04 22:00,2019-01-05 03:00,0,0,0,2.355
2019-01-04 23:00,2019-01-05 04:00,0,0,0,2.100
2019-01-05 00:00,2019-01-05 05:00,0,0,0,1.750
2019-01-05 01:00,2019-01-05 06:00,0,0,0,1.402
2019-01-05 02:00,2019-01-05 07:00,0,0,0.002,1.058
2019-01-05 03:00,2019-01-05 08:00,0.022,0.005,0.036,1.767
2019-01-05 04:00,2019-01-05 09:00,0.094,0.019,0.098,3.249
2019-01-05 05:00,2019-01-05 10:00,0.171,0.042,0.154,4.268
2019-01-05 06:00,2019-01-05 11:00,0.202,0.049,0.179,5.057
2019-01-05 07:00,2019-01-05 12:00,0.176,0.033,0.168,5.333
2019-01-05 08:00,2019-01-05 13:00,0.134,0.020,0.138,5.148
2019-01-05 09:00,2019-01-05 14:00,0.083,0.010,0.095,4.690
2019-01-05 10:00,2019-01-05 15:00,0.033,0.004,0.049,3.947
2019-01-05 11:00,2019-01-05 16:00,0,0.001,0.011,2.699
2019-01-05 12:00,2019-01-05 17:00,0,0,0,1.881
2019-01-05 13:00,2019-01-05 18:00,0,0,0,1.704
2019-01-05 14:00,2019-01-05 19:00,0,0,0,1.562
2019-01-05 15:00,2019-01-05 20:00,0,0,0,1.236
2019-01-05 16:00,2019-01-05 21:00,0,0,0,0.817
2019-01-05 17:00,2019-01-05 22:00,0,0,0,0.472
2019-01-05 18:00,2019-01-05 23:00,0,0,0,0.187
2019-01-05 19:00,2019-01-06 00:00,0,0,0,-0.134
2019-01-05 20:00,2019-01-06 01:00,0,0,0,-0.433
2019-01-05 21:00,2019-01-06 02:00,0,0,0,-0.539
2019-01-05 22:00,2019-01-06 03:00,0,0,0,-0.571
2019-01-05 23:00,2019-01-06 04:00,0,0,0,-0.584
2019-01-06 00:00,2019-01-06 05:00,0,0,0,-0.569
2019-01-06 01:00,2019-01-06 06:00,0,0,0,-0.543
2019-01-06 02:00,2019-01-06 07:00,0,0.005,0.004,-0.527
2019-01-06 03:00,2019-01-06 08:00,0.208,0.180,0.051,1.715
2019-01-06 04:00,2019-01-06 09:00,0.438,0.411,0.072,4.806
2019-01-06 05:00,2019-01-06 10:00,0.591,0.593,0.079,6.832
2019-01-06 06:00,2019-01-06 11:00,0.683,0.719,0.078,8.393
2019-01-06 07:00,2019-01-06 12:00,0.710,0.767,0.074,9.549
2019-01-06 08:00,2019-01-06 13:00,0.667,0.716,0.069,10.241
2019-01-06 09:00,2019-01-06 14:00,0.553,0.574,0.062,10.407
2019-01-06 10:00,2019-01-06 15:00,0.354,0.345,0.053,9.685
2019-01-06 11:00,2019-01-06 16:00,0.091,0.096,0.019,6.666
2019-01-06 12:00,2019-01-06 17:00,0,0,0,4.517
2019-01-06 13:00,2019-01-06 18:00,0,0,0,3.239
2019-01-06 14:00,2019-01-06 19:00,0,0,0,2.374
2019-01-06 15:00,2019-01-06 20:00,0,0,0,1.915
2019-01-06 16:00,2019-01-06 21:00,0,0,0,1.704
2019-01-06 17:00,2019-01-06 22:00,0,0,0,1.528
2019-01-06 18:00,2019-01-06 23:00,0,0,0,1.315
2019-01-06 19:00,2019-01-07 00:00,0,0,0,1.133
2019-01-06 20:00,2019-01-07 01:00,0,0,0,1.084
2019-01-06 21:00,2019-01-07 02:00,0,0,0,1.101
2019-01-06 22:00,2019-01-07 03:00,0,0,0,1.104
2019-01-06 23:00,2019-01-07 04:00,0,0,0,1.016
2019-01-07 00:00,2019-01-07 05:00,0,0,0,0.965
2019-01-07 01:00,2019-01-07 06:00,0,0,0,0.908
2019-01-07 02:00,2019-01-07 07:00,0,0.010,0.005,0.965
2019-01-07 03:00,2019-01-07 08:00,0.234,0.205,0.053,3.156
2019-01-07 04:00,2019-01-07 09:00,0.334,0.267,0.103,6.293
2019-01-07 05:00,2019-01-07 10:00,0.352,0.243,0.151,8.856
2019-01-07 06:00,2019-01-07 11:00,0.310,0.167,0.182,10.423
2019-01-07 07:00,2019-01-07 12:00,0.246,0.101,0.181,11.237
2019-01-07 08:00,2019-01-07 13:00,0.253,0.120,0.170,11.752
2019-01-07 09:00,2019-01-07 14:00,0.281,0.185,0.135,12.104
2019-01-07 10:00,2019-01-07 15:00,0.222,0.171,0.084,10.696
2019-01-07 11:00,2019-01-07 16:00,0.044,0.043,0.023,7.652
2019-01-07 12:00,2019-01-07 17:00,0,0,0,6.486
2019-01-07 13:00,2019-01-07 18:00,0,0,0,6.169
2019-01-07 14:00,2019-01-07 19:00,0,0,0,6.334
2019-01-07 15:00,2019-01-07 20:00,0,0,0,6.289
2019-01-07 16:00,2019-01-07 21:00,0,0,0,6.013
2019-01-07 17:00,2019-01-07 22:00,0,0,0,6.781
2019-01-07 18:00,2019-01-07 23:00,0,0,0,6.798
2019-01-07 19:00,2019-01-08 00:00,0,0,0,6.454
2019-01-07 20:00,2019-01-08 01:00,0,0,0,5.824
2019-01-07 21:00,2019-01-08 02:00,0,0,0,4.871
2019-01-07 22:00,2019-01-08 03:00,0,0,0,4.421
2019-01-07 23:00,2019-01-08 04:00,0,0,0,4.802
2019-01-08 00:00,2019-01-08 05:00,0,0,0,4.492
2019-01-08 01:00,2019-01-08 06:00,0,0,0,4.069
2019-01-08 02:00,2019-01-08 07:00,0,0.003,0.005,3.653
2019-01-08 03:00,2019-01-08 08:00,0.084,0.042,0.065,5.056
2019-01-08 04:00,2019-01-08 09:00,0.106,0.024,0.107,6.826
2019-01-08 05:00,2019-01-08 10:00,0.068,0.006,0.086,6.992
2019-01-08 06:00,2019-01-08 11:00,0.064,0.004,0.083,6.064
2019-01-08 07:00,2019-01-08 12:00,0.065,0.004,0.084,5.053
2019-01-08 08:00,2019-01-08 13:00,0.063,0.004,0.082,5.299
